No,DO,RTD,EC,PH,ORP,
53,DO: 2.87, RTD: 38.98, EC: 261.60, PH: 4.23, ORP: -134.00, 
54,DO: 2.87, RTD: 38.98, EC: 262.40, PH: 4.24, ORP: -134.10, 
55,DO: 3.11, RTD: 38.98, EC: 262.50, PH: 4.24, ORP: -133.80, 
56,DO: 3.11, RTD: 38.97, EC: 263.70, PH: 4.23, ORP: -134.00, 
57,DO: 2.87, RTD: 38.97, EC: 264.30, PH: 4.23, ORP: -134.00, 
58,DO: 2.87, RTD: 38.99, EC: 264.50, PH: 4.23, ORP: -134.00, 
59,DO: 2.63, RTD: 39.00, EC: 261.20, PH: 4.24, ORP: -134.00, 
60,DO: 3.11, RTD: 39.01, EC: 261.20, PH: 4.23, ORP: -133.90, 
61,DO: 3.11, RTD: 39.01, EC: 261.00, PH: 4.23, ORP: -134.00, 
62,DO: 3.11, RTD: 39.01, EC: 260.70, PH: 4.23, ORP: -133.90, 
63,DO: 2.87, RTD: 39.02, EC: 260.70, PH: 4.23, ORP: -133.90, 
64,DO: 3.35, RTD: 39.02, EC: 260.30, PH: 4.23, ORP: -134.10, 
65,DO: 3.11, RTD: 39.02, EC: 263.20, PH: 4.23, ORP: -134.00, 
66,DO: 3.35, RTD: 39.03, EC: 263.10, PH: 4.23, ORP: -134.00, 
67,DO: 3.11, RTD: 39.03, EC: 260.80, PH: 4.23, ORP: -133.80, 
68,DO: 2.87, RTD: 39.04, EC: 260.50, PH: 4.23, ORP: -134.20, 
69,DO: 3.35, RTD: 39.04, EC: 263.30, PH: 4.23, ORP: -134.10, 
70,DO: 3.35, RTD: 39.05, EC: 260.60, PH: 4.22, ORP: -134.10, 
71,DO: 3.35, RTD: 39.05, EC: 262.50, PH: 4.22, ORP: -134.10, 
72,DO: 3.11, RTD: 39.06, EC: 262.80, PH: 4.22, ORP: -134.30, 
73,DO: 3.35, RTD: 39.06, EC: 263.10, PH: 4.22, ORP: -134.20, 
74,DO: 3.11, RTD: 39.06, EC: 268.40, PH: 4.22, ORP: -134.20, 
75,DO: 3.35, RTD: 39.06, EC: 261.50, PH: 4.23, ORP: -134.00, 
76,DO: 3.11, RTD: 39.06, EC: 259.50, PH: 4.22, ORP: -134.10, 
77,DO: 3.11, RTD: 39.07, EC: 258.30, PH: 4.23, ORP: -134.00, 
78,DO: 3.11, RTD: 39.07, EC: 263.80, PH: 4.22, ORP: -134.00, 
79,DO: 3.35, RTD: 39.07, EC: 259.60, PH: 4.22, ORP: -134.10, 
80,DO: 3.11, RTD: 39.07, EC: 262.20, PH: 4.23, ORP: -134.10, 
81,DO: 2.87, RTD: 39.06, EC: 264.10, PH: 4.23, ORP: -134.20, 
82,DO: 2.87, RTD: 39.06, EC: 261.60, PH: 4.23, ORP: -133.90, 
83,DO: 3.11, RTD: 39.05, EC: 258.30, PH: 4.22, ORP: -134.20, 
84,DO: 2.87, RTD: 39.04, EC: 258.70, PH: 4.22, ORP: -134.20, 
85,DO: 3.11, RTD: 39.03, EC: 258.70, PH: 4.22, ORP: -134.10, 
86,DO: 3.11, RTD: 39.03, EC: 260.50, PH: 4.22, ORP: -134.00, 
87,DO: 2.87, RTD: 39.03, EC: 262.90, PH: 4.22, ORP: -134.10, 
88,DO: 3.35, RTD: 39.03, EC: 262.40, PH: 4.22, ORP: -134.10, 
89,DO: 3.11, RTD: 39.02, EC: 258.80, PH: 4.22, ORP: -134.20, 
90,DO: 3.11, RTD: 39.00, EC: 261.10, PH: 4.22, ORP: -134.20, 
91,DO: 3.35, RTD: 38.99, EC: 260.30, PH: 4.22, ORP: -134.00, 
92,DO: 3.35, RTD: 38.98, EC: 257.70, PH: 4.22, ORP: -134.20, 
93,DO: 3.11, RTD: 38.97, EC: 258.10, PH: 4.21, ORP: -134.20, 
94,DO: 3.11, RTD: 38.96, EC: 265.30, PH: 4.21, ORP: -134.20, 
95,DO: 3.35, RTD: 38.95, EC: 258.20, PH: 4.21, ORP: -134.00, 
96,DO: 3.11, RTD: 38.95, EC: 256.90, PH: 4.22, ORP: -134.10, 
97,DO: 3.11, RTD: 38.95, EC: 260.30, PH: 4.21, ORP: -134.20, 
98,DO: 3.11, RTD: 38.95, EC: 260.00, PH: 4.21, ORP: -134.20, 
99,DO: 3.11, RTD: 38.95, EC: 258.80, PH: 4.21, ORP: -134.10, 
100,DO: 3.11, RTD: 38.96, EC: 263.70, PH: 4.21, ORP: -134.30, 
101,DO: 3.35, RTD: 38.98, EC: 261.00, PH: 4.21, ORP: -134.30, 
